Rank	Name	Time	OMA_14tej	HK_14tej	TS_14tej
ps1	Cellular organisms	4200	0.081325563	0.149753695	0.046332046
ps2	Eukaryota	1800	0.232321475	0.499507389	0.115508366
ps3	Opisthokonta	1513	0.280942855	0.571428571	0.145431145
ps4	Metazoa	1215.8	0.321736105	0.604926108	0.176962677
ps5	Eumetazoa	1200	0.349830391	0.633497537	0.199163449
ps6	Bilateria	1147	0.442811168	0.724137931	0.273809524
ps7	Deuterostomia	910	0.445594503	0.726108374	0.275418275
ps8	Chordata	842	0.462729408	0.737931034	0.294401544
ps9	Craniata	797	0.462729408	0.737931034	0.294401544
ps10	Vertebrata	789.5	0.462729408	0.737931034	0.294401544
ps11	Gnathostomata	782.7	0.462729408	0.737931034	0.294401544
ps12	Teleostomi	526.5	0.462729408	0.737931034	0.294401544
ps13	Euteleostomi	470	0.755849352	0.906403941	0.598777349
ps14	Sarcopterygii	454.6	0.780986344	0.916256158	0.633204633
ps15	Dipnotetrapodomorpha	430	0.780986344	0.916256158	0.633204633
ps16	Tetrapoda	428.8	0.796120727	0.925123153	0.651222651
ps17	Amniota	371.2	0.84987388	0.95270936	0.718468468
ps18	Mammalia	296	0.857093155	0.953694581	0.731660232
ps19	Theria	167.4	0.90284422	0.967487685	0.812419562
ps20	Eutheria	162.6	0.943550491	0.981280788	0.887387387
ps21	Boreoeutheria	104.2	0.979820823	0.991133005	0.958172458
ps22	Euarchontoglires	94.2	0.983734887	0.993103448	0.966537967
ps23	Primates	92.3	0.9845177	0.993103448	0.968790219
ps24	Haplorrhini	74	0.9845177	0.993103448	0.968790219
ps25	Smiiformes	65.2	0.987996869	0.995073892	0.976190476
ps26	Catarrhini	42.6	0.991476037	0.997044335	0.985199485
ps27	Hominoidea	29	0.993737497	0.998029557	0.990669241
ps28	Hominidae	20.4	0.995042185	0.998029557	0.992277992
ps29	Homininae	8.8	0.997651561	0.999014778	0.997425997
ps30	Homo	2.3	0.997651561	0.999014778	0.997425997
ps31	Homo sapiens	0.5	1	1	1
