Rank	Name	Time	"Fantom5 TPM > 1 (8,325)"	RNA Silencing (11)	"Enzymes (2,398)"	Kinases (343)	Transc factors (472)	Linked recep (68)	Nuclear recep (53)	Ion channels (260)	Cytokine recep (172)
ps1	Cellular organisms	4200	0.144624625	0.090909091	0.269808173	0.008746356	0.004237288	0	0	0	0.005813953
ps2	Eukaryota	1800	0.47039039	0.818181818	0.560467056	0.303206997	0.061440678	0	0	0.042307692	0.005813953
ps3	Opisthokonta	1513	0.506906907	0.818181818	0.605921601	0.411078717	0.088983051	0.014705882	0	0.05	0.011627907
ps4	Metazoa	1215.8	0.581741742	0.818181818	0.673477898	0.533527697	0.23940678	0.088235294	0.056603774	0.107692308	0.040697674
ps5	Eumetazoa	1200	0.628348348	0.909090909	0.71559633	0.603498542	0.311440678	0.191176471	0.132075472	0.157692308	0.087209302
ps6	Bilateria	1147	0.682402402	0.909090909	0.752293578	0.679300292	0.470338983	0.411764706	0.301886792	0.242307692	0.180232558
ps7	Deuterostomia	910	0.703663664	0.909090909	0.775646372	0.699708455	0.536016949	0.455882353	0.41509434	0.273076923	0.209302326
ps8	Chordata	842	0.737417417	0.909090909	0.799833194	0.725947522	0.593220339	0.5	0.490566038	0.346153846	0.238372093
ps9	Craniata	797	0.737417417	0.909090909	0.800250209	0.725947522	0.593220339	0.5	0.490566038	0.346153846	0.238372093
ps10	Vertebrata	789.5	0.7396997	0.909090909	0.801501251	0.725947522	0.601694915	0.5	0.509433962	0.346153846	0.238372093
ps11	Gnathostomata	782.7	0.74990991	0.909090909	0.80942452	0.737609329	0.625	0.514705882	0.528301887	0.369230769	0.25
ps12	Teleostomi	526.5	0.74990991	0.909090909	0.80942452	0.737609329	0.625	0.514705882	0.528301887	0.369230769	0.25
ps13	Euteleostomi	470	0.89981982	1	0.921601334	0.947521866	0.88559322	0.926470588	0.943396226	0.830769231	0.691860465
ps14	Sarcopterygii	454.6	0.89993994	1	0.921601334	0.947521866	0.88559322	0.926470588	0.943396226	0.830769231	0.691860465
ps15	Dipnotetrapodomorpha	430	0.90006006	1	0.921601334	0.947521866	0.88559322	0.926470588	0.943396226	0.830769231	0.691860465
ps16	Tetrapoda	428.8	0.931291291	1	0.949958299	0.967930029	0.936440678	0.955882353	0.962264151	0.907692308	0.802325581
ps17	Amniota	371.2	0.94966967	1	0.959966639	0.976676385	0.953389831	0.970588235	0.981132075	0.938461538	0.924418605
ps18	Mammalia	296	0.963843844	1	0.968723937	0.979591837	0.963983051	0.970588235	0.981132075	0.961538462	0.936046512
ps19	Theria	167.4	0.977657658	1	0.985821518	0.991253644	0.985169492	1	1	0.973076923	0.970930233
ps20	Eutheria	162.6	0.997477477	1	0.999165972	1	0.997881356	1	1	1	1
ps21	Boreoeutheria	104.2	0.997477477	1	0.999165972	1	0.997881356	1	1	1	1
ps22	Euarchontoglires	94.2	0.997837838	1	0.999165972	1	1	1	1	1	1
ps23	Primates	92.3	0.997837838	1	0.999165972	1	1	1	1	1	1
ps24	Haplorrhini	74	0.997837838	1	0.999165972	1	1	1	1	1	1
ps25	Smiiformes	65.2	0.997837838	1	0.999165972	1	1	1	1	1	1
ps26	Catarrhini	42.6	0.999279279	1	0.999582986	1	1	1	1	1	1
ps27	Hominoidea	29	0.99975976	1	0.999582986	1	1	1	1	1	1
ps28	Hominidae	20.4	0.99987988	1	0.999582986	1	1	1	1	1	1
ps29	Homininae	8.8	1	1	0.999582986	1	1	1	1	1	1
ps30	Homo	2.3	1	1	0.999582986	1	1	1	1	1	1
ps31	Homo sapiens	0.5	1	1	1	1	1	1	1	1	1
